family,tf,cls,configs,ic_mean,ic_pos_months,top_minus_bottom,ens_oos_mean,ens_pos_months,ens_202601,ens_202602,ens_202603,ens_202604,ens_202605,ens_202606
V_RANGE_EXP,2,EQ,1296,0.9467300303203671,6,62.381643416858594,-23.59629854422772,0,-21.690165333230528,-21.522231167555585,-23.1337144356182,-24.57476994624705,-25.001254853327932,-25.655655529387023
R_BB,2,EQ,3456,0.9466153242150132,6,85.28681729163955,-34.58118762961553,0,-30.19275388147174,-29.625205719210516,-36.24743332569936,-36.010920129971026,-35.17575958141235,-40.23505313992815
R_EXTREME,1,EQ,2592,0.9449523070886504,6,79.91669407246026,-30.65941677891386,0,-26.79721285376505,-25.62629658491754,-32.000101030571486,-32.44481884731322,-30.099617001646955,-36.98845435526891
V_NR_BREAK,2,FUT,972,0.9448024393252901,6,66.15994968909773,-25.166071068085255,0,-22.59574102743992,-23.143246369550912,-26.398417878662887,-27.139429532754047,-24.8102297740815,-26.90936182602227
T_DONCH_STOP,2,EQ,1080,0.9446520650944265,6,66.79326621453265,-30.0427913413839,0,-26.528963553562935,-29.799371133568652,-29.480456329842443,-31.444628663187757,-31.25160844138392,-31.75171992675768
T_KELTNER,1,EQ,1944,0.944498071419995,6,66.70854734078964,-48.85583867352464,0,-46.043941503845616,-45.789173795354266,-46.908279251315754,-50.620265220806246,-52.08179066054759,-51.691581609278366
T_PRICE_MA,2,EQ,2160,0.9440067665322128,6,54.777365485213885,-33.551493262776596,0,-36.45594423448581,-31.200138439894996,-30.929131804106497,-32.57806077063988,-36.24597894522403,-33.89970538230834
M_ACCEL,2,FUT,1296,0.9439946500085283,6,52.77698630257732,-38.87192582266986,0,-35.32804428648534,-37.08205970159811,-40.21337724588218,-40.9084860649224,-38.9724022801234,-40.7271853570077
T_MTF,1,EQ,1728,0.9437095884988107,6,66.33046581036632,-39.919860235580394,0,-40.45184571247233,-36.99049096949381,-36.936930103204986,-39.52217859869505,-42.82219051624947,-42.79552551336669
R_BB_LIMIT,2,FUT,2916,0.9436452849679776,6,60.51815753237082,-34.80167371697929,0,-31.661499386684685,-28.978504639896595,-37.61965511336296,-36.958059558098185,-34.94239238102292,-38.64993122281038
V_RANGE_EXP,1,FUT,1944,0.9434630782009809,6,70.41785478096037,-27.593885711022494,0,-26.081428702338858,-25.30068102932194,-28.17934981170376,-29.04966247234341,-27.553817818283232,-29.39837443214377
U_BAR_PRESSURE,3,EQ,864,0.9431671256535502,6,61.50962257766643,-29.48352420605759,0,-30.95339680269216,-29.19540984344036,-27.173216237206116,-29.661245283257603,-31.044507818838827,-28.873369250910486
T_SUPERTREND,1,FUT,2916,0.942350618053328,6,66.47015327459395,-31.782094655851818,0,-28.75041607484088,-29.262131577778998,-31.716527825695014,-34.490085560292094,-31.391328654921303,-35.08207824158261
